"n.sites","Parameter","mu.bias","sd.bias","mu.p.bias","mu.CV","og.val","bias.lci","bias.uci","CR","PWR","Conv.rate","ndatasets","Lik","Scenario","order","CoefReg"
244,"f2.0",0.0308090660170669,0.174131505705588,-0.0770226650426672,0.562892252698183,-0.4,-0.310488685165886,0.37210681720002,0.91,0.65,1,100,"PL","1 Slope","1st","Intercept"
403,"f1.0",0.0329917126367612,0.126523964732259,-0.0824792815919031,0.470299474424326,-0.4,-0.214995258238467,0.28097868351199,0.92,0.79,1,100,"PL","1 Slope","1st","Intercept"
403,"f12.0",0.0177294499587298,0.274970927327107,-0.0295490832645496,0.443270182403973,-0.6,-0.521213567602401,0.55667246751986,0.79,0.82,1,100,"PL","1 Slope","2nd","Intercept"
403,"f12.1",-0.0799735248033935,0.23507401806796,-0.0999669060042419,0.250834522826186,0.8,-0.540718600216595,0.380771550609808,0.77,1,1,100,"PL","1 Slope","2nd","Slope"
403,"f2.0",0.0192239988569975,0.119138594453556,-0.0480599971424936,0.401980118564934,-0.4,-0.214287646271972,0.252735643985967,0.97,0.84,1,100,"PL","1 Slope","1st","Intercept"
665,"f1.0",0.00634806641117111,0.111650690932688,-0.0158701660279278,0.305432899133393,-0.4,-0.212487287816898,0.22518342063924,0.92,0.92,1,100,"PL","1 Slope","1st","Intercept"
665,"f12.0",0.0897078863612032,0.205755125967173,-0.149513143935339,0.394948808653698,-0.6,-0.313572160534457,0.492987933256863,0.88,0.85,1,100,"PL","1 Slope","2nd","Intercept"
665,"f12.1",-0.0969048544100282,0.161398963013476,-0.121131068012535,0.198206873670862,0.8,-0.413246821916441,0.219437113096384,0.8,1,1,100,"PL","1 Slope","2nd","Slope"
665,"f2.0",-0.00261877801770654,0.111275329792239,0.00654694504426636,0.296212623271941,-0.4,-0.220718424410495,0.215480868375082,0.94,0.94,1,100,"PL","1 Slope","1st","Intercept"
1096,"f1.0",-0.0065732145986928,0.0886715411762816,0.016433036496732,0.231471290047327,-0.4,-0.180369435304205,0.167223006106819,0.98,0.99,1,100,"PL","1 Slope","1st","Intercept"
1096,"f12.0",0.0441831737682451,0.166626856628498,-0.0736386229470752,0.301344188283505,-0.6,-0.282405465223611,0.370771812760101,0.9,0.95,1,100,"PL","1 Slope","2nd","Intercept"
1096,"f12.1",-0.0587082616982171,0.128561084202547,-0.0733853271227714,0.152519072877794,0.8,-0.310687986735209,0.193271463338775,0.85,1,1,100,"PL","1 Slope","2nd","Slope"
1096,"f2.0",0.00913084595797201,0.0951097122089819,-0.02282711489493,0.245047399527973,-0.4,-0.177284189971632,0.195545881887576,0.89,0.95,1,100,"PL","1 Slope","1st","Intercept"
1808,"f1.0",-0.0045981508929529,0.0677061987969678,0.0114953772323823,0.17438804865072,-0.4,-0.13730230053501,0.128105998749104,0.97,1,1,100,"PL","1 Slope","1st","Intercept"
1808,"f12.0",0.0549266777121864,0.118033952629365,-0.091544462853644,0.230656736456408,-0.6,-0.176419869441369,0.286273224865742,0.95,1,1,100,"PL","1 Slope","2nd","Intercept"
1808,"f12.1",-0.0309506778685058,0.0941035213932398,-0.0386883473356322,0.113499366575077,0.8,-0.215393579799256,0.153492224062244,0.91,1,1,100,"PL","1 Slope","2nd","Slope"
1808,"f2.0",-0.0072243336296407,0.0728503886462725,0.0180608340741017,0.173258816664462,-0.4,-0.150011095376335,0.135562428117053,0.91,1,1,100,"PL","1 Slope","1st","Intercept"
2980,"f1.0",0.0116973084593304,0.0527312333503337,-0.0292432711483261,0.143952084118918,-0.4,-0.0916559089073236,0.115050525825984,0.98,1,1,100,"PL","1 Slope","1st","Intercept"
2980,"f12.0",0.00881996618559919,0.0951711539214168,-0.0146999436426653,0.172799062993819,-0.6,-0.177715495500378,0.195355427871576,0.95,1,1,100,"PL","1 Slope","2nd","Intercept"
2980,"f12.1",-0.0265135275324755,0.0679889949349269,-0.0331419094155944,0.0948947502202001,0.8,-0.159771957604932,0.106744902539981,0.93,1,1,100,"PL","1 Slope","2nd","Slope"
2980,"f2.0",0.0056344727352575,0.0404697985639871,-0.0140861818381437,0.140290741844305,-0.4,-0.0736863324501573,0.0849552779206723,0.98,1,1,100,"PL","1 Slope","1st","Intercept"
20,"f1.0",0.00635962420949389,4.14749109089762,-0.0317981210474695,148.3627442768,-0.2,-8.12272291394984,8.13544216236883,1,0,1,96,"LL","3 Slopes","1st","Intercept"
20,"f1.1",0.482303230615491,1.90956000427519,1.60767743538497,6.54457877060846,0.3,-3.26043437776388,4.22504083899486,0.989583333333333,0.0208333333333333,1,96,"LL","3 Slopes","1st","Slope"
20,"f12.0",-1.66300980232504,6.7091606612569,2.77168300387507,9.42536242899546,-0.6,-14.8129646983886,11.4869450937385,1,0,1,96,"LL","3 Slopes","2nd","Intercept"
20,"f12.1",1.79335391907549,4.59313325812125,2.24169239884436,42.2040286159401,0.8,-7.20918726684217,10.7958951049931,0.958333333333333,0,1,96,"LL","3 Slopes","2nd","Slope"
20,"f2.0",1.54937952208283,14.3319872436527,-2.58229920347138,4.63509819374834,-0.6,-26.5413154754765,29.6400745196422,1,0.0416666666666667,1,96,"LL","3 Slopes","1st","Intercept"
20,"f2.1",1.766324735725,12.8435553848777,3.53264947145001,4.84733769346843,0.5,-23.4070438186352,26.9396932900852,1,0.0104166666666667,1,96,"LL","3 Slopes","1st","Slope"
